ID,Prob1
281, 0.65
282, 0.08
283, 0.58
284, 0.55
285, 0.65
286, 0.20
287, 0.18
288, 0.21
289, 0.17
290, 0.78
291, 0.36
292, 0.60
293, 0.41
294, 0.44
295, 0.79
296, 0.01
297, 0.25
298, 0.77
299, 0.60
300, 0.53
301, 0.08
302, 0.79
303, 0.82
304, 0.10
305, 0.00
306, 0.14
307, 0.04
308, 0.23
309, 0.80
310, 0.06
311, 0.01
312, 0.13
313, 0.46
314, 0.98
315, 0.75
316, 0.77
317, 0.00
318, 0.05
319, 0.65
320, 0.72
321, 0.20
322, 0.00
323, 0.92
324, 0.00
325, 0.20
326, 0.66
327, 0.97
328, 0.27
329, 0.83
330, 0.85
331, 0.05
332, 0.70
333, 0.05
334, 0.72
335, 0.63
336, 0.48
337, 0.00
338, 0.30
339, 0.31
340, 0.92
341, 0.00
342, 0.60
343, 0.51
344, 0.00
345, 0.41
346, 0.01
347, 0.12
348, 0.01
349, 0.01
350, 0.05
351, 0.59
352, 0.05
353, 0.49
354, 0.16
355, 0.30
356, 0.01
357, 0.54
358, 0.68
359, 0.00
360, 0.63
361, 0.00
362, 0.63
363, 0.00
364, 0.00
365, 0.95
366, 0.65
367, 0.44
368, 0.80
369, 0.80
370, 0.19
371, 0.36
372, 0.99
373, 0.45
374, 0.75
375, 0.57
376, 0.70
377, 0.34
378, 0.64
379, 0.00
380, 0.99
381, 0.32
382, 0.07
383, 0.14
384, 0.59
385, 0.04
386, 0.15
387, 0.39
388, 0.28
389, 0.67
390, 0.71
391, 0.27
392, 0.30
393, 0.02
394, 0.76
395, 0.01
396, 0.02
397, 0.00
398, 0.82
399, 0.04
400, 0.12
401, 0.67
402, 0.21
403, 0.00
404, 0.28
405, 0.04
406, 0.00
407, 0.18
408, 0.00
409, 0.11
410, 0.08
411, 0.66
412, 0.52
413, 1.00
414, 0.39
415, 0.12
416, 0.25
417, 0.68
418, 0.39
419, 0.44
420, 0.00
421, 0.70
422, 0.08
423, 0.45
424, 0.69
425, 0.45
426, 0.16
427, 0.82
428, 0.20
429, 0.98
430, 0.12
431, 0.89
432, 0.59
433, 0.67
434, 0.00
435, 0.00
436, 0.89
437, 0.56
438, 0.04
439, 0.58
440, 0.42
441, 0.01
442, 0.51
443, 0.03
444, 0.76
445, 0.28
446, 0.08
447, 0.31
448, 0.02
449, 0.64
450, 0.99
451, 0.38
452, 0.46
453, 0.90
454, 0.92
455, 0.71
456, 0.93
457, 0.33
458, 0.27
459, 0.60
460, 0.05
461, 0.09
462, 0.24
463, 0.99
464, 0.01
465, 0.08
466, 0.84
467, 0.01
468, 0.01
469, 0.89
470, 0.02
471, 0.11
472, 0.68
473, 0.56
474, 0.02
475, 0.00
476, 0.07
477, 0.15
478, 0.65
479, 0.29
480, 0.60
481, 0.01
482, 0.01
483, 0.47
484, 0.91
485, 0.81
486, 0.52
487, 0.16
488, 0.48
489, 0.09
490, 0.65
491, 0.63
492, 0.03
493, 0.30
494, 0.08
495, 0.82
496, 0.81
497, 0.29
498, 0.98
499, 0.26
500, 0.01
501, 0.50
502, 0.67
503, 0.40
504, 0.09
505, 0.82
506, 0.17
507, 0.68
508, 0.09
509, 0.79
510, 0.80
511, 0.77
512, 0.31
513, 0.97
514, 0.07
515, 0.56
516, 0.10
517, 0.80
518, 0.63
519, 0.00
520, 0.91
521, 0.88
522, 0.00
523, 0.43
524, 0.26
525, 0.68
526, 0.96
527, 0.77
528, 0.00
529, 0.31
530, 0.41
531, 0.38
532, 0.35
533, 0.34
534, 0.87
535, 0.85
536, 0.37
537, 0.31
538, 0.11
539, 0.74
540, 0.85
541, 0.47
542, 0.08
543, 0.97
544, 0.40
545, 0.88
546, 0.26
547, 0.03
548, 0.31
549, 0.19
550, 0.62
551, 0.64
552, 0.00
553, 0.50
554, 0.09
555, 0.09
556, 0.83
557, 0.97
558, 0.47
559, 0.99
560, 0.23
561, 0.38
562, 0.14
563, 0.06
564, 0.81
565, 0.49
566, 0.51
567, 0.50
568, 0.78
569, 0.69
570, 0.16
571, 0.84
572, 0.00
573, 0.60
574, 0.65
575, 0.65
576, 0.75
577, 0.01
578, 0.02
579, 0.68
580, 0.72
581, 0.72
582, 0.32
583, 0.02
584, 0.80
585, 0.42
586, 0.01
587, 0.04
588, 0.97
589, 0.91
590, 0.97
591, 0.23
592, 0.67
593, 0.75
594, 0.88
595, 0.02
596, 0.00
597, 0.74
598, 0.00
599, 0.30
600, 0.64
601, 0.84
602, 0.01
603, 0.46
604, 0.48
605, 0.29
606, 0.30
607, 0.45
608, 0.63
609, 0.50
610, 0.62
611, 0.05
612, 0.29
613, 0.71
614, 0.54
615, 0.72
616, 0.16
617, 0.52
618, 0.97
619, 0.00
620, 0.55
621, 0.05
622, 0.45
623, 0.16
624, 0.08
625, 0.72
626, 0.00
627, 0.62
628, 0.55
629, 0.33
630, 0.07
631, 0.01
632, 0.85
633, 0.76
634, 0.49
635, 0.78
636, 0.90
637, 0.78
638, 0.01
639, 0.29
640, 0.01
641, 0.65
642, 0.26
643, 0.19
644, 0.03
645, 0.72
646, 0.68
647, 0.32
648, 0.07
649, 0.48
650, 0.74
651, 0.04
652, 0.81
653, 0.18
654, 0.67
655, 0.03
656, 0.95
657, 0.30
658, 0.02
659, 0.88
660, 0.96
661, 0.06
662, 0.67
663, 0.01
664, 0.73
665, 0.40
666, 0.62
667, 0.17
668, 0.11
669, 0.66
670, 0.05
671, 0.19
672, 0.66
673, 0.96
674, 0.61
675, 0.58
676, 0.96
677, 0.46
678, 0.00
679, 0.80
680, 0.37
681, 0.03
682, 0.02
683, 0.45
684, 0.01
685, 0.32
686, 0.13
687, 0.01
688, 0.72
689, 0.00
690, 0.09
691, 0.71
692, 0.45
693, 0.36
694, 0.69
695, 0.24
696, 0.05
697, 0.55
698, 0.99
699, 0.21
700, 0.63
701, 0.61
702, 0.98
703, 0.64
704, 0.84
705, 0.93
706, 0.50
707, 0.06
708, 0.74
709, 0.10
710, 0.98
711, 0.61
712, 0.01
713, 0.02
714, 0.33
715, 0.58
716, 0.86
717, 0.95
718, 0.90
719, 0.94
720, 0.78
721, 0.00
722, 0.35
723, 0.28
724, 0.03
725, 0.15
726, 0.91
727, 0.27
728, 0.73
729, 0.00
730, 0.78
731, 0.82
732, 0.62
733, 0.00
734, 0.94
735, 0.85
736, 0.05
737, 0.91
738, 0.53
739, 0.93
740, 0.20
741, 0.59
742, 0.59
743, 0.70
744, 0.60
745, 0.54
746, 0.92
747, 0.84
748, 0.56
749, 0.66
750, 0.00
751, 0.64
752, 0.04
753, 0.37
754, 0.07
755, 0.63
756, 0.63
757, 1.00
758, 0.46
759, 0.45
760, 1.00
761, 0.45
762, 0.01
763, 0.79
764, 0.03
765, 0.47
766, 0.97
767, 0.44
768, 0.60
769, 0.63
770, 0.64
771, 0.18
772, 0.26
773, 0.10
774, 0.18
775, 0.23
776, 0.90
777, 0.49
778, 0.41
779, 0.00
780, 0.97
781, 0.82
782, 0.52
783, 0.40
784, 0.51
785, 0.18
786, 0.63
787, 0.07
788, 0.48
789, 0.51
790, 0.39
791, 0.77
792, 0.68
793, 0.48
794, 0.41
795, 0.50
796, 0.54
797, 0.64
798, 0.36
799, 0.19
800, 0.09
801, 0.46
802, 0.55
803, 0.52
804, 0.88
805, 0.57
806, 0.98
807, 0.15
808, 0.63
809, 0.57
810, 0.69
811, 0.77
812, 0.58
813, 0.01
814, 0.65
815, 0.12
816, 0.00
817, 0.00
818, 0.74
819, 0.26
820, 0.95
821, 0.00
822, 0.06
823, 0.00
824, 0.40
825, 0.55
826, 0.48
827, 0.27
828, 0.58
829, 0.63
830, 0.07
831, 0.67
832, 0.95
833, 0.51
834, 0.60
835, 0.85
836, 0.45
837, 0.30
838, 0.70
839, 0.00
840, 0.46
841, 0.06
842, 0.20
843, 0.29
844, 0.64
845, 0.55
846, 0.59
847, 0.69
848, 0.02
849, 0.00
850, 0.88
851, 0.19
852, 0.03
853, 0.73
854, 0.00
855, 0.01
856, 0.42
857, 0.53
858, 0.33
859, 0.00
860, 0.01
861, 0.00
862, 0.58
863, 0.02
864, 0.64
865, 0.64
866, 0.01
867, 0.34
868, 0.01
869, 0.26
870, 0.18
871, 0.01
872, 0.72
873, 0.93
874, 0.93
875, 0.26
876, 0.21
877, 0.18
878, 0.85
879, 0.66
880, 0.15
881, 0.84
882, 0.25
883, 0.69
884, 0.02
885, 0.99
886, 0.89
887, 0.12
888, 0.92
889, 0.00
890, 0.98
891, 0.61
892, 0.27
893, 0.07
894, 0.00
895, 0.87
896, 0.65
897, 0.53
898, 0.91
899, 0.00
900, 0.30
901, 0.44
902, 0.01
903, 0.98
904, 0.62
905, 0.37
906, 0.79
907, 0.94
908, 0.56
909, 0.59
910, 0.55
911, 0.02
912, 0.58
913, 0.74
914, 0.85
915, 0.58
916, 0.85
917, 0.86
918, 0.00
919, 0.14
920, 0.11
921, 0.55
922, 0.89
923, 0.09
924, 0.39
925, 0.38
926, 0.00
927, 0.03
928, 0.36
929, 0.00
930, 0.49
931, 0.03
932, 0.29
933, 0.05
934, 0.56
935, 0.58
936, 0.65
937, 0.48
938, 0.78
939, 0.96
940, 0.63
941, 0.43
942, 0.18
943, 0.48
944, 0.01
945, 0.04
946, 0.89
947, 0.95
948, 0.92
949, 0.62
950, 0.93
951, 0.78
952, 0.97
953, 0.53
954, 0.15
955, 0.70
956, 0.15
957, 0.66
958, 0.58
959, 0.12
960, 0.90
961, 0.03
962, 0.00
963, 0.22
964, 0.32
965, 0.64
966, 0.99
967, 0.64
968, 0.21
969, 0.01
970, 0.51
971, 0.64
972, 0.01
973, 0.49
974, 0.95
975, 0.51
976, 0.07
977, 0.00
978, 0.30
979, 0.83
980, 0.88
981, 0.01
982, 0.37
983, 0.93
984, 0.00
985, 0.68
986, 0.39
987, 0.48
988, 0.94
989, 0.67
990, 0.99
991, 0.01
992, 0.61
993, 0.92
994, 0.62
995, 0.32
996, 0.03
997, 0.01
998, 0.99
999, 0.09
1000, 0.03
1001, 0.56
1002, 0.63
1003, 0.45
1004, 0.44
1005, 0.90
1006, 0.42
1007, 0.90
1008, 0.02
1009, 0.38
1010, 0.85
1011, 0.04
1012, 0.88
1013, 0.16
1014, 0.65
1015, 0.63
1016, 0.00
1017, 0.15
1018, 0.32
1019, 0.80
1020, 0.28
1021, 0.85
1022, 0.82
1023, 0.00
1024, 0.89
1025, 0.25
1026, 0.91
1027, 0.98
1028, 0.01
1029, 0.21
1030, 0.99
1031, 0.95
1032, 0.73
1033, 0.09
1034, 0.22
1035, 0.87
1036, 0.01
1037, 0.00
1038, 0.74
1039, 0.30
1040, 0.54
1041, 0.69
1042, 0.31
1043, 0.46
1044, 0.86
1045, 0.12
1046, 0.13
1047, 0.48
1048, 0.90
1049, 0.70
1050, 0.10
1051, 0.00
1052, 0.54
1053, 0.01
1054, 0.72
1055, 0.65
1056, 0.93
1057, 0.02
1058, 0.43
1059, 0.81
1060, 0.85
1061, 0.02
1062, 0.69
1063, 0.43
1064, 0.11
1065, 0.44
1066, 0.67
1067, 0.55
1068, 0.41
1069, 0.93
1070, 0.01
1071, 0.59
1072, 0.30
1073, 0.82
1074, 1.00
1075, 0.02
1076, 0.00
1077, 0.41
1078, 0.74
1079, 0.76
1080, 0.60
1081, 0.89
1082, 0.82
1083, 0.30
1084, 0.68
1085, 0.27
1086, 0.82
1087, 0.02
1088, 0.84
1089, 0.00
1090, 0.40
1091, 0.53
1092, 0.64
1093, 0.67
1094, 0.74
1095, 0.93
1096, 0.52
1097, 0.19
1098, 0.48
1099, 0.51
1100, 0.03
1101, 0.28
1102, 0.00
1103, 0.55
1104, 0.67
1105, 0.70
1106, 0.27
1107, 0.25
1108, 0.87
1109, 0.89
1110, 0.74
1111, 0.91
1112, 0.07
1113, 0.44
1114, 0.16
1115, 0.01
1116, 0.20
1117, 0.35
1118, 0.48
1119, 0.08
1120, 0.00
1121, 0.88
1122, 0.81
1123, 0.85
1124, 0.01
1125, 0.47
1126, 0.36
1127, 0.46
1128, 0.01
1129, 0.60
1130, 0.11
1131, 0.88
1132, 0.73
1133, 0.07
1134, 0.04
1135, 0.01
1136, 0.67
1137, 0.03
1138, 0.69
1139, 0.00
1140, 0.49
1141, 0.13
1142, 0.35
1143, 0.47
1144, 0.63
1145, 0.80
1146, 0.85
1147, 0.02
1148, 0.87
1149, 0.30
1150, 0.39
1151, 0.38
1152, 0.29
1153, 0.59
1154, 0.58
1155, 0.69
1156, 0.96
1157, 0.22
1158, 0.03
1159, 0.10
1160, 0.10
1161, 0.65
1162, 0.03
1163, 0.59
1164, 0.00
1165, 0.95
1166, 0.64
1167, 0.08
1168, 0.02
1169, 0.41
1170, 0.19
1171, 0.45
1172, 0.49
1173, 0.17
1174, 0.57
1175, 0.78
1176, 0.05
1177, 0.30
1178, 0.77
1179, 0.07
1180, 0.43
1181, 0.01
1182, 0.06
1183, 0.11
1184, 0.21
1185, 0.91
1186, 0.80
1187, 0.57
1188, 0.00
1189, 0.88
1190, 0.01
1191, 0.81
1192, 0.03
1193, 0.29
1194, 0.17
1195, 0.69
1196, 0.23
1197, 0.91
1198, 0.02
1199, 0.52
1200, 0.83
1201, 0.90
1202, 0.83
1203, 0.00
1204, 0.41
1205, 0.82
1206, 0.22
1207, 0.76
1208, 0.01
1209, 0.00
1210, 0.68
1211, 0.58
1212, 0.88
1213, 0.14
1214, 0.68
1215, 0.73
1216, 0.52
1217, 0.57
1218, 0.55
1219, 0.75
1220, 0.53
1221, 0.25
1222, 0.53
1223, 0.00
1224, 0.37
1225, 0.97
1226, 0.07
1227, 0.07
1228, 0.49
1229, 0.34
1230, 0.90
1231, 0.54
1232, 0.68
1233, 0.04
1234, 0.49
1235, 0.21
1236, 0.64
1237, 0.95
1238, 0.17
1239, 0.70
1240, 0.65
1241, 0.05
1242, 0.85
1243, 0.69
1244, 0.58
1245, 0.96
1246, 0.78
1247, 0.64
1248, 0.34
1249, 0.56
1250, 0.15
1251, 0.12
1252, 0.45
1253, 0.57
1254, 0.46
1255, 0.06
1256, 0.57
1257, 0.70
1258, 0.49
1259, 0.99
1260, 0.01
1261, 0.32
1262, 0.03
1263, 0.96
1264, 0.02
1265, 0.01
1266, 0.92
1267, 0.22
1268, 0.17
1269, 0.47
1270, 0.85
1271, 0.81
1272, 0.13
1273, 0.54
1274, 0.93
1275, 0.20
1276, 0.15
1277, 0.40
1278, 0.65
1279, 0.73
1280, 0.10
1281, 0.85
1282, 0.06
1283, 0.02
1284, 0.84
1285, 0.42
1286, 0.80
1287, 0.59
1288, 0.76
1289, 0.02
1290, 0.97
1291, 0.05
1292, 0.00
1293, 0.00
1294, 0.76
1295, 0.63
1296, 0.81
1297, 0.16
1298, 0.03
1299, 0.00
1300, 0.01
1301, 0.67
1302, 0.03
1303, 0.13
1304, 0.46
1305, 0.22
1306, 0.05
1307, 0.37
1308, 0.91
1309, 0.14
1310, 0.43
1311, 0.52
1312, 0.85
1313, 0.29
1314, 0.67
1315, 0.15
1316, 0.41
1317, 0.55
1318, 0.00
1319, 0.02
1320, 0.01
1321, 0.40
1322, 0.26
1323, 0.99
1324, 0.94
1325, 0.48
1326, 0.38
1327, 0.85
1328, 0.57
1329, 0.45
1330, 0.01
1331, 0.70
1332, 0.05
1333, 0.24
1334, 0.24
1335, 0.78
1336, 0.17
1337, 0.94
1338, 0.46
1339, 0.63
1340, 0.00
1341, 0.01
1342, 0.85
1343, 0.94
1344, 0.80
1345, 0.75
1346, 0.10
1347, 0.98
1348, 0.13
1349, 0.16
1350, 0.00
1351, 0.50
1352, 0.75
1353, 0.02
1354, 0.98
1355, 0.00
1356, 0.54
1357, 0.05
1358, 0.00
1359, 0.02
1360, 0.49
1361, 0.10
1362, 0.61
1363, 0.00
1364, 0.44
1365, 0.21
1366, 0.09
1367, 0.12
1368, 0.80
1369, 0.21
1370, 0.86
1371, 0.02
1372, 0.00
1373, 0.23
1374, 0.02
1375, 0.01
1376, 0.59
1377, 0.38
1378, 0.43
1379, 0.52
1380, 0.49
1381, 0.37
1382, 0.72
1383, 0.69
1384, 0.44
1385, 0.67
1386, 0.82
1387, 0.01
1388, 0.28
1389, 0.49
1390, 0.02
1391, 0.01
1392, 0.82
1393, 0.62
1394, 0.09
1395, 0.00
1396, 0.78
1397, 0.63
1398, 0.01
1399, 0.57
1400, 0.76
1401, 0.60
1402, 0.36
1403, 0.62
1404, 0.29
1405, 0.54
1406, 0.73
1407, 0.71
1408, 0.53
1409, 0.57
1410, 0.47
1411, 0.02
1412, 0.01
1413, 0.35
1414, 0.00
1415, 0.02
1416, 0.07
1417, 0.03
1418, 0.01
1419, 0.81
1420, 0.86
1421, 0.53
1422, 0.96
1423, 0.00
1424, 0.31
1425, 0.58
1426, 0.00
1427, 0.91
1428, 0.04
1429, 0.79
1430, 0.50
1431, 0.59
1432, 0.66
1433, 0.14
1434, 0.71
1435, 0.89
1436, 0.74
1437, 0.60
1438, 0.99
1439, 0.00
1440, 0.02
1441, 0.98
1442, 0.38
1443, 0.52
1444, 0.56
1445, 0.42
1446, 0.78
1447, 0.52
1448, 0.81
1449, 0.08
1450, 0.32
1451, 0.78
1452, 0.16
1453, 0.01
1454, 0.83
1455, 0.40
1456, 0.88
1457, 0.81
1458, 0.06
1459, 0.19
1460, 0.51
1461, 0.35
1462, 0.50
1463, 0.00
1464, 0.00
1465, 0.83
1466, 0.00
1467, 0.15
1468, 0.36
1469, 0.02
1470, 0.96
1471, 0.07
1472, 0.13
1473, 0.11
1474, 0.75
1475, 0.99
1476, 0.31
1477, 0.04
1478, 0.02
1479, 0.07
1480, 0.96
1481, 0.75
1482, 0.30
1483, 0.93
1484, 0.70
1485, 0.63
1486, 0.48
1487, 0.68
1488, 0.61
1489, 0.58
1490, 0.42
1491, 0.05
1492, 0.95
1493, 0.07
1494, 0.88
1495, 0.68
1496, 0.00
1497, 0.75
1498, 0.52
1499, 0.19
1500, 0.80
1501, 0.89
1502, 0.46
1503, 0.74
1504, 0.64
1505, 0.20
1506, 0.58
1507, 0.41
1508, 0.55
1509, 0.90
1510, 0.76
1511, 0.57
1512, 0.71
1513, 0.73
1514, 0.52
1515, 0.10
1516, 0.47
1517, 0.12
1518, 0.03
1519, 0.69
1520, 0.11
1521, 0.02
1522, 0.07
1523, 0.51
1524, 0.02
1525, 0.95
1526, 0.03
1527, 0.00
1528, 0.00
1529, 0.86
1530, 0.34
1531, 0.44
1532, 0.74
1533, 0.61
1534, 0.52
1535, 0.41
1536, 0.93
1537, 0.27
1538, 0.02
1539, 0.03
1540, 0.16
1541, 0.22
1542, 0.09
1543, 0.48
1544, 0.44
1545, 0.51
1546, 0.41
1547, 0.16
1548, 0.91
1549, 0.11
1550, 0.41
1551, 0.42
1552, 0.01
1553, 0.54
1554, 0.01
1555, 0.33
1556, 0.50
1557, 0.19
1558, 0.46
1559, 0.55
1560, 0.01
1561, 0.24
1562, 0.30
1563, 0.05
1564, 0.51
1565, 0.33
1566, 0.00
1567, 0.41
1568, 0.69
1569, 0.90
1570, 0.03
1571, 0.11
1572, 0.06
1573, 0.17
1574, 0.44
1575, 0.03
1576, 0.38
1577, 0.03
1578, 0.49
1579, 0.12
1580, 0.49
1581, 0.70
1582, 0.13
1583, 0.01
1584, 0.73
1585, 0.96
1586, 0.17
1587, 0.01
1588, 0.52
1589, 0.93
1590, 0.77
1591, 0.01
1592, 0.14
1593, 0.00
1594, 0.41
1595, 0.02
1596, 0.88
1597, 0.00
1598, 0.46
1599, 0.54
1600, 0.46
1601, 0.95
1602, 0.53
1603, 0.45
1604, 0.25
1605, 0.02
1606, 0.73
1607, 0.46
1608, 0.02
1609, 0.00
1610, 0.82
1611, 0.35
1612, 0.53
1613, 0.21
1614, 0.13
1615, 0.80
1616, 0.98
1617, 0.66
1618, 0.62
1619, 0.04
1620, 0.03
1621, 0.61
1622, 0.25
1623, 0.00
1624, 0.44
1625, 0.71
1626, 0.07
1627, 0.56
1628, 0.04
1629, 0.13
1630, 0.00
1631, 0.25
1632, 0.01
1633, 0.76
1634, 0.44
1635, 0.80
1636, 0.21
1637, 0.74
1638, 0.09
1639, 0.28
1640, 0.35
1641, 0.71
1642, 0.00
1643, 0.27
1644, 0.66
1645, 0.94
1646, 0.93
1647, 0.74
1648, 0.86
1649, 0.46
1650, 0.69
1651, 0.45
1652, 0.40
1653, 0.96
1654, 0.99
1655, 0.38
1656, 0.70
1657, 0.05
1658, 0.04
1659, 0.90
1660, 0.05
1661, 0.21
1662, 0.73
1663, 0.67
1664, 0.84
1665, 0.39
1666, 0.28
1667, 0.80
1668, 0.68
1669, 1.00
1670, 0.03
1671, 0.02
1672, 0.68
1673, 0.92
1674, 0.19
1675, 0.81
1676, 0.16
1677, 0.79
1678, 0.89
1679, 0.59
1680, 0.65
1681, 0.46
1682, 0.97
1683, 0.79
1684, 0.01
1685, 0.99
1686, 0.98
1687, 0.00
1688, 0.83
1689, 0.04
1690, 0.69
1691, 0.00
1692, 0.71
1693, 0.83
1694, 0.44
1695, 0.67
1696, 0.59
1697, 0.27
1698, 0.52
1699, 0.19
1700, 0.52
1701, 0.33
1702, 0.61
1703, 0.65
1704, 0.95
1705, 0.59
1706, 0.20
1707, 0.00
1708, 0.00
1709, 0.39
1710, 0.91
1711, 0.53
1712, 0.59
1713, 0.75
1714, 0.52
1715, 0.02
1716, 0.97
1717, 0.72
1718, 0.73
1719, 0.36
1720, 0.00
1721, 0.38
1722, 0.85
1723, 0.51
1724, 0.06
1725, 0.92
1726, 0.17
1727, 0.65
1728, 0.02
1729, 0.81
1730, 0.41
1731, 0.57
1732, 0.58
1733, 0.54
1734, 0.66
1735, 0.72
1736, 0.70
1737, 0.50
1738, 0.64
1739, 1.00
1740, 0.72
1741, 0.06
1742, 0.75
1743, 0.23
1744, 0.68
1745, 0.70
1746, 0.00
1747, 0.31
1748, 0.00
1749, 0.85
1750, 0.14
1751, 0.01
1752, 0.01
1753, 0.07
1754, 0.59
1755, 0.71
1756, 0.59
1757, 0.49
1758, 0.85
1759, 0.33
1760, 0.01
1761, 0.01
1762, 0.06
1763, 0.40
1764, 0.70
1765, 0.23
1766, 0.79
1767, 0.57
1768, 0.46
1769, 0.16
1770, 0.44
1771, 0.86
1772, 0.53
1773, 0.43
1774, 0.63
1775, 0.71
1776, 0.02
1777, 0.66
1778, 0.09
1779, 0.00
1780, 0.61
1781, 0.69
1782, 0.48
1783, 0.00
1784, 0.95
1785, 0.85
1786, 0.00
1787, 0.02
1788, 0.05
1789, 0.64
1790, 0.88
1791, 0.53
1792, 0.46
1793, 0.01
1794, 0.00
1795, 0.02
1796, 0.45
1797, 0.39
1798, 0.00
1799, 0.67
1800, 0.00
1801, 0.49
1802, 0.67
1803, 0.94
1804, 0.33
1805, 0.64
1806, 0.01
1807, 0.00
1808, 0.18
1809, 0.73
1810, 0.38
1811, 0.68
1812, 0.50
1813, 0.11
1814, 0.96
1815, 0.00
1816, 0.01
1817, 0.57
1818, 0.48
1819, 0.01
1820, 0.00
1821, 0.67
1822, 0.40
1823, 0.55
1824, 0.79
1825, 0.42
1826, 0.19
1827, 0.17
1828, 0.11
1829, 0.01
1830, 0.89
1831, 0.01
1832, 0.81
1833, 0.13
1834, 0.30
1835, 0.30
1836, 0.51
1837, 0.14
1838, 0.03
1839, 0.98
1840, 0.98
1841, 0.95
1842, 0.13
1843, 0.97
1844, 0.44
1845, 0.59
1846, 0.52
1847, 0.00
1848, 0.72
1849, 0.05
1850, 0.26
1851, 0.81
1852, 0.03
1853, 0.70
1854, 0.16
1855, 0.98
1856, 0.14
1857, 0.43
1858, 0.81
1859, 0.70
1860, 0.23
1861, 0.74
1862, 0.33
1863, 0.80
1864, 0.16
1865, 0.00
1866, 0.51
1867, 0.00
1868, 0.71
1869, 0.28
1870, 0.19
1871, 0.23
1872, 0.12
